family,season,observations,clusters,missing_covariate
teamtotal_x_passtd,2010,512,32,256
teamtotal_x_passtd,2011,512,32,0
teamtotal_x_passtd,2012,512,32,0
teamtotal_x_passtd,2013,512,32,0
teamtotal_x_passtd,2014,512,32,0
teamtotal_x_passtd,2015,512,32,0
teamtotal_x_passtd,2016,512,32,0
teamtotal_x_passtd,2017,512,32,0
teamtotal_x_passtd,2018,512,32,0
teamtotal_x_passtd,2019,512,32,0
teamtotal_x_passtd,2020,511,32,0
teamtotal_x_passtd,2021,544,32,0
teamtotal_x_passtd,2022,542,32,0
teamtotal_x_passtd,2023,544,32,0
teamtotal_x_passtd,2024,544,32,0
teamtotal_x_passtd,2025,544,32,0
passyds_x_wr1recyds,2010,355,59,0
passyds_x_wr1recyds,2011,477,59,0
passyds_x_wr1recyds,2012,470,49,0
passyds_x_wr1recyds,2013,464,51,0
passyds_x_wr1recyds,2014,472,52,0
passyds_x_wr1recyds,2015,471,55,0
passyds_x_wr1recyds,2016,474,54,0
passyds_x_wr1recyds,2017,448,53,0
passyds_x_wr1recyds,2018,450,53,0
passyds_x_wr1recyds,2019,463,51,0
passyds_x_wr1recyds,2020,442,58,0
passyds_x_wr1recyds,2021,477,59,0
passyds_x_wr1recyds,2022,474,61,0
passyds_x_wr1recyds,2023,486,58,0
passyds_x_wr1recyds,2024,467,58,0
passyds_x_wr1recyds,2025,477,59,0
rb1rush_x_qbpassunder,2010,343,32,0
rb1rush_x_qbpassunder,2011,420,32,0
rb1rush_x_qbpassunder,2012,424,32,0
rb1rush_x_qbpassunder,2013,430,32,0
rb1rush_x_qbpassunder,2014,411,32,0
rb1rush_x_qbpassunder,2015,412,32,0
rb1rush_x_qbpassunder,2016,412,32,0
rb1rush_x_qbpassunder,2017,413,32,0
rb1rush_x_qbpassunder,2018,400,32,0
rb1rush_x_qbpassunder,2019,418,32,0
rb1rush_x_qbpassunder,2020,384,32,0
rb1rush_x_qbpassunder,2021,421,32,0
rb1rush_x_qbpassunder,2022,465,32,0
rb1rush_x_qbpassunder,2023,442,32,0
rb1rush_x_qbpassunder,2024,429,32,0
rb1rush_x_qbpassunder,2025,463,32,0
bothqb_passyds,2010,256,32,0
bothqb_passyds,2011,256,32,0
bothqb_passyds,2012,256,32,0
bothqb_passyds,2013,256,32,0
bothqb_passyds,2014,256,32,0
bothqb_passyds,2015,256,32,0
bothqb_passyds,2016,256,32,0
bothqb_passyds,2017,256,32,0
bothqb_passyds,2018,256,32,0
bothqb_passyds,2019,256,32,0
bothqb_passyds,2020,255,32,0
bothqb_passyds,2021,272,32,0
bothqb_passyds,2022,271,32,0
bothqb_passyds,2023,272,32,0
bothqb_passyds,2024,272,32,0
bothqb_passyds,2025,272,32,0
passyds_x_rb1rush,2010,343,32,0
passyds_x_rb1rush,2011,420,32,0
passyds_x_rb1rush,2012,424,32,0
passyds_x_rb1rush,2013,430,32,0
passyds_x_rb1rush,2014,411,32,0
passyds_x_rb1rush,2015,412,32,0
passyds_x_rb1rush,2016,412,32,0
passyds_x_rb1rush,2017,413,32,0
passyds_x_rb1rush,2018,400,32,0
passyds_x_rb1rush,2019,418,32,0
passyds_x_rb1rush,2020,384,32,0
passyds_x_rb1rush,2021,421,32,0
passyds_x_rb1rush,2022,465,32,0
passyds_x_rb1rush,2023,442,32,0
passyds_x_rb1rush,2024,429,32,0
passyds_x_rb1rush,2025,463,32,0
spread_x_total,1999,248,31,0
spread_x_total,2000,248,31,0
spread_x_total,2001,248,31,0
spread_x_total,2002,256,32,0
spread_x_total,2003,256,32,0
spread_x_total,2004,256,32,0
spread_x_total,2005,256,32,0
spread_x_total,2006,256,32,0
spread_x_total,2007,256,32,0
spread_x_total,2008,256,32,0
spread_x_total,2009,256,32,0
spread_x_total,2010,256,32,0
spread_x_total,2011,256,32,0
spread_x_total,2012,256,32,0
spread_x_total,2013,256,32,0
spread_x_total,2014,256,32,0
spread_x_total,2015,256,32,0
spread_x_total,2016,256,32,0
spread_x_total,2017,256,32,0
spread_x_total,2018,256,32,0
spread_x_total,2019,256,32,0
spread_x_total,2020,256,32,0
spread_x_total,2021,272,32,0
spread_x_total,2022,271,32,0
spread_x_total,2023,272,32,0
spread_x_total,2024,272,32,0
spread_x_total,2025,272,32,0
