family,stratum,range_low,range_high,n,clusters,season_low,season_high,transport_ok,spearman,kendall,gaussian_rho,p_a,dir_a,p_b,dir_b,empirical_joint,ci_low,ci_high,gaussian_joint,independent,phi
teamtotal_x_passtd,all,,,7510,510,2010,2025,true,0.565469,0.399691,0.567599,0.30,Over,0.30,Over,0.173369,0.168121,0.178241,0.167408,0.090000,0.396994
teamtotal_x_passtd,all,,,7510,510,2010,2025,true,0.565469,0.399691,0.567599,0.30,Over,0.30,Under,0.034221,0.030515,0.037247,0.026046,0.090000,-0.265614
teamtotal_x_passtd,all,,,7510,510,2010,2025,true,0.565469,0.399691,0.567599,0.30,Under,0.30,Over,0.016778,0.014135,0.019708,0.026046,0.090000,-0.348678
teamtotal_x_passtd,all,,,7510,510,2010,2025,true,0.565469,0.399691,0.567599,0.30,Under,0.30,Under,0.170573,0.165804,0.175187,0.167408,0.090000,0.383679
teamtotal_x_passtd,all,,,7510,510,2010,2025,true,0.565469,0.399691,0.567599,0.30,Over,0.50,Over,0.228628,0.224078,0.233483,0.232116,0.150000,0.343163
teamtotal_x_passtd,all,,,7510,510,2010,2025,true,0.565469,0.399691,0.567599,0.30,Over,0.50,Under,0.071372,0.066490,0.075907,0.067884,0.150000,-0.343163
teamtotal_x_passtd,all,,,7510,510,2010,2025,true,0.565469,0.399691,0.567599,0.30,Under,0.50,Over,0.056991,0.053136,0.061486,0.067884,0.150000,-0.405926
teamtotal_x_passtd,all,,,7510,510,2010,2025,true,0.565469,0.399691,0.567599,0.30,Under,0.50,Under,0.243009,0.238488,0.246865,0.232116,0.150000,0.405926
teamtotal_x_passtd,all,,,7510,510,2010,2025,true,0.565469,0.399691,0.567599,0.30,Over,0.70,Over,0.265779,0.262739,0.269459,0.273954,0.210000,0.265614
teamtotal_x_passtd,all,,,7510,510,2010,2025,true,0.565469,0.399691,0.567599,0.30,Over,0.70,Under,0.126631,0.121720,0.131852,0.132592,0.210000,-0.396994
teamtotal_x_passtd,all,,,7510,510,2010,2025,true,0.565469,0.399691,0.567599,0.30,Under,0.70,Over,0.129427,0.124845,0.134260,0.132592,0.210000,-0.383679
teamtotal_x_passtd,all,,,7510,510,2010,2025,true,0.565469,0.399691,0.567599,0.30,Under,0.70,Under,0.283222,0.280299,0.285905,0.273954,0.210000,0.348678
teamtotal_x_passtd,all,,,7510,510,2010,2025,true,0.565469,0.399691,0.567599,0.50,Over,0.30,Over,0.246471,0.241235,0.250365,0.232116,0.150000,0.421036
teamtotal_x_passtd,all,,,7510,510,2010,2025,true,0.565469,0.399691,0.567599,0.50,Over,0.30,Under,0.070972,0.066608,0.075583,0.067884,0.150000,-0.344906
teamtotal_x_passtd,all,,,7510,510,2010,2025,true,0.565469,0.399691,0.567599,0.50,Under,0.30,Over,0.053529,0.049595,0.058777,0.067884,0.150000,-0.421036
teamtotal_x_passtd,all,,,7510,510,2010,2025,true,0.565469,0.399691,0.567599,0.50,Under,0.30,Under,0.229028,0.224416,0.233416,0.232116,0.150000,0.344906
teamtotal_x_passtd,all,,,7510,510,2010,2025,true,0.565469,0.399691,0.567599,0.50,Over,0.50,Over,0.352197,0.346055,0.356657,0.346064,0.250000,0.408788
teamtotal_x_passtd,all,,,7510,510,2010,2025,true,0.565469,0.399691,0.567599,0.50,Over,0.50,Under,0.147803,0.143276,0.153879,0.153936,0.250000,-0.408788
teamtotal_x_passtd,all,,,7510,510,2010,2025,true,0.565469,0.399691,0.567599,0.50,Under,0.50,Over,0.147803,0.143276,0.153879,0.153936,0.250000,-0.408788
teamtotal_x_passtd,all,,,7510,510,2010,2025,true,0.565469,0.399691,0.567599,0.50,Under,0.50,Under,0.352197,0.346187,0.356790,0.346064,0.250000,0.408788
teamtotal_x_passtd,all,,,7510,510,2010,2025,true,0.565469,0.399691,0.567599,0.50,Over,0.70,Over,0.429028,0.424417,0.433392,0.432116,0.350000,0.344906
teamtotal_x_passtd,all,,,7510,510,2010,2025,true,0.565469,0.399691,0.567599,0.50,Over,0.70,Under,0.253529,0.249570,0.258755,0.267884,0.350000,-0.421036
teamtotal_x_passtd,all,,,7510,510,2010,2025,true,0.565469,0.399691,0.567599,0.50,Under,0.70,Over,0.270972,0.266584,0.275593,0.267884,0.350000,-0.344906
teamtotal_x_passtd,all,,,7510,510,2010,2025,true,0.565469,0.399691,0.567599,0.50,Under,0.70,Under,0.446471,0.441254,0.450469,0.432116,0.350000,0.421036
teamtotal_x_passtd,all,,,7510,510,2010,2025,true,0.565469,0.399691,0.567599,0.70,Over,0.30,Over,0.283222,0.280299,0.285850,0.273954,0.210000,0.348678
teamtotal_x_passtd,all,,,7510,510,2010,2025,true,0.565469,0.399691,0.567599,0.70,Over,0.30,Under,0.129427,0.124845,0.134260,0.132592,0.210000,-0.383679
teamtotal_x_passtd,all,,,7510,510,2010,2025,true,0.565469,0.399691,0.567599,0.70,Under,0.30,Over,0.126631,0.121720,0.131852,0.132592,0.210000,-0.396994
teamtotal_x_passtd,all,,,7510,510,2010,2025,true,0.565469,0.399691,0.567599,0.70,Under,0.30,Under,0.265779,0.262739,0.269475,0.273954,0.210000,0.265614
teamtotal_x_passtd,all,,,7510,510,2010,2025,true,0.565469,0.399691,0.567599,0.70,Over,0.50,Over,0.443009,0.438505,0.446840,0.432116,0.350000,0.405926
teamtotal_x_passtd,all,,,7510,510,2010,2025,true,0.565469,0.399691,0.567599,0.70,Over,0.50,Under,0.256991,0.253136,0.261514,0.267884,0.350000,-0.405926
teamtotal_x_passtd,all,,,7510,510,2010,2025,true,0.565469,0.399691,0.567599,0.70,Under,0.50,Over,0.271372,0.266516,0.275857,0.267884,0.350000,-0.343163
teamtotal_x_passtd,all,,,7510,510,2010,2025,true,0.565469,0.399691,0.567599,0.70,Under,0.50,Under,0.428628,0.424159,0.433511,0.432116,0.350000,0.343163
teamtotal_x_passtd,all,,,7510,510,2010,2025,true,0.565469,0.399691,0.567599,0.70,Over,0.70,Over,0.570573,0.565676,0.575168,0.567408,0.490000,0.383679
teamtotal_x_passtd,all,,,7510,510,2010,2025,true,0.565469,0.399691,0.567599,0.70,Over,0.70,Under,0.416778,0.414161,0.419657,0.426046,0.490000,-0.348678
teamtotal_x_passtd,all,,,7510,510,2010,2025,true,0.565469,0.399691,0.567599,0.70,Under,0.70,Over,0.434221,0.430567,0.437274,0.426046,0.490000,-0.265614
teamtotal_x_passtd,all,,,7510,510,2010,2025,true,0.565469,0.399691,0.567599,0.70,Under,0.70,Under,0.573369,0.568175,0.578320,0.567408,0.490000,0.396994
teamtotal_x_passtd,t1,,0.6071,2445,247,2010,2025,true,0.516078,0.361371,0.520321,0.30,Over,0.30,Over,0.164826,0.156103,0.173683,0.159902,0.090000,0.356315
teamtotal_x_passtd,t1,,0.6071,2445,247,2010,2025,true,0.516078,0.361371,0.520321,0.30,Over,0.30,Under,0.038446,0.031728,0.044661,0.030951,0.090000,-0.245496
teamtotal_x_passtd,t1,,0.6071,2445,247,2010,2025,true,0.516078,0.361371,0.520321,0.30,Under,0.30,Over,0.021268,0.016380,0.026691,0.030951,0.090000,-0.327296
teamtotal_x_passtd,t1,,0.6071,2445,247,2010,2025,true,0.516078,0.361371,0.520321,0.30,Under,0.30,Under,0.159918,0.151012,0.168016,0.159902,0.090000,0.332944
teamtotal_x_passtd,t1,,0.6071,2445,247,2010,2025,true,0.516078,0.361371,0.520321,0.30,Over,0.50,Over,0.220450,0.211901,0.229015,0.224739,0.150000,0.307469
teamtotal_x_passtd,t1,,0.6071,2445,247,2010,2025,true,0.516078,0.361371,0.520321,0.30,Over,0.50,Under,0.079346,0.071027,0.088060,0.075261,0.150000,-0.308361
teamtotal_x_passtd,t1,,0.6071,2445,247,2010,2025,true,0.516078,0.361371,0.520321,0.30,Under,0.50,Over,0.061350,0.054558,0.069950,0.075261,0.150000,-0.386902
teamtotal_x_passtd,t1,,0.6071,2445,247,2010,2025,true,0.516078,0.361371,0.520321,0.30,Under,0.50,Under,0.238855,0.230031,0.245328,0.224739,0.150000,0.387794
teamtotal_x_passtd,t1,,0.6071,2445,247,2010,2025,true,0.516078,0.361371,0.520321,0.30,Over,0.70,Over,0.261350,0.255220,0.268109,0.269049,0.210000,0.244522
teamtotal_x_passtd,t1,,0.6071,2445,247,2010,2025,true,0.516078,0.361371,0.520321,0.30,Over,0.70,Under,0.134969,0.126244,0.143937,0.140098,0.210000,-0.357289
teamtotal_x_passtd,t1,,0.6071,2445,247,2010,2025,true,0.516078,0.361371,0.520321,0.30,Under,0.70,Over,0.140286,0.131857,0.148919,0.140098,0.210000,-0.331970
teamtotal_x_passtd,t1,,0.6071,2445,247,2010,2025,true,0.516078,0.361371,0.520321,0.30,Under,0.70,Under,0.278937,0.273283,0.283589,0.269049,0.210000,0.328270
teamtotal_x_passtd,t1,,0.6071,2445,247,2010,2025,true,0.516078,0.361371,0.520321,0.50,Over,0.30,Over,0.238037,0.229840,0.245572,0.224739,0.150000,0.384224
teamtotal_x_passtd,t1,,0.6071,2445,247,2010,2025,true,0.516078,0.361371,0.520321,0.50,Over,0.30,Under,0.077301,0.070620,0.086456,0.075261,0.150000,-0.317286
teamtotal_x_passtd,t1,,0.6071,2445,247,2010,2025,true,0.516078,0.361371,0.520321,0.50,Under,0.30,Over,0.061759,0.054387,0.070160,0.075261,0.150000,-0.385117
teamtotal_x_passtd,t1,,0.6071,2445,247,2010,2025,true,0.516078,0.361371,0.520321,0.50,Under,0.30,Under,0.222904,0.213588,0.229583,0.224739,0.150000,0.318179
teamtotal_x_passtd,t1,,0.6071,2445,247,2010,2025,true,0.516078,0.361371,0.520321,0.50,Over,0.50,Over,0.343967,0.335445,0.350939,0.337094,0.250000,0.375869
teamtotal_x_passtd,t1,,0.6071,2445,247,2010,2025,true,0.516078,0.361371,0.520321,0.50,Over,0.50,Under,0.155828,0.149056,0.164396,0.162906,0.250000,-0.376687
teamtotal_x_passtd,t1,,0.6071,2445,247,2010,2025,true,0.516078,0.361371,0.520321,0.50,Under,0.50,Over,0.155828,0.149056,0.164396,0.162906,0.250000,-0.376687
teamtotal_x_passtd,t1,,0.6071,2445,247,2010,2025,true,0.516078,0.361371,0.520321,0.50,Under,0.50,Under,0.344376,0.335620,0.350945,0.337094,0.250000,0.377505
teamtotal_x_passtd,t1,,0.6071,2445,247,2010,2025,true,0.516078,0.361371,0.520321,0.50,Over,0.70,Over,0.422495,0.413339,0.429261,0.424739,0.350000,0.316394
teamtotal_x_passtd,t1,,0.6071,2445,247,2010,2025,true,0.516078,0.361371,0.520321,0.50,Over,0.70,Under,0.261759,0.254389,0.270156,0.275261,0.350000,-0.385117
