family,season,n,joint_0.5_0.5_OO,spearman
teamtotal_x_passtd,2010,447,0.362416,0.596482
teamtotal_x_passtd,2011,453,0.324503,0.497969
teamtotal_x_passtd,2012,483,0.368530,0.595755
teamtotal_x_passtd,2013,477,0.335430,0.547116
teamtotal_x_passtd,2014,465,0.361290,0.580783
teamtotal_x_passtd,2015,466,0.356223,0.592637
teamtotal_x_passtd,2016,468,0.361111,0.548045
teamtotal_x_passtd,2017,455,0.364835,0.615662
teamtotal_x_passtd,2018,457,0.363239,0.638342
teamtotal_x_passtd,2019,463,0.352052,0.586876
teamtotal_x_passtd,2020,458,0.349345,0.534763
teamtotal_x_passtd,2021,487,0.351129,0.550157
teamtotal_x_passtd,2022,469,0.328358,0.484624
teamtotal_x_passtd,2023,472,0.349576,0.604922
teamtotal_x_passtd,2024,504,0.335317,0.526246
teamtotal_x_passtd,2025,486,0.353909,0.561146
passyds_x_wr1recyds,2010,250,0.344000,0.522993
passyds_x_wr1recyds,2011,364,0.315934,0.446488
passyds_x_wr1recyds,2012,358,0.349162,0.479112
passyds_x_wr1recyds,2013,359,0.320334,0.384335
passyds_x_wr1recyds,2014,367,0.318801,0.380098
passyds_x_wr1recyds,2015,352,0.357955,0.457991
passyds_x_wr1recyds,2016,371,0.309973,0.359694
passyds_x_wr1recyds,2017,324,0.324074,0.435309
passyds_x_wr1recyds,2018,341,0.316716,0.352057
passyds_x_wr1recyds,2019,372,0.311828,0.402114
passyds_x_wr1recyds,2020,308,0.331169,0.457223
passyds_x_wr1recyds,2021,343,0.320700,0.387062
passyds_x_wr1recyds,2022,365,0.339726,0.474448
passyds_x_wr1recyds,2023,371,0.353100,0.560783
passyds_x_wr1recyds,2024,327,0.333333,0.498401
passyds_x_wr1recyds,2025,316,0.294304,0.316456
rb1rush_x_qbpassunder,2010,263,0.209125,-0.150130
rb1rush_x_qbpassunder,2011,308,0.224026,-0.168079
rb1rush_x_qbpassunder,2012,366,0.229508,-0.164752
rb1rush_x_qbpassunder,2013,339,0.233038,-0.142213
rb1rush_x_qbpassunder,2014,316,0.262658,-0.049711
rb1rush_x_qbpassunder,2015,318,0.238994,-0.114868
rb1rush_x_qbpassunder,2016,336,0.223214,-0.149731
rb1rush_x_qbpassunder,2017,308,0.243506,-0.120338
rb1rush_x_qbpassunder,2018,316,0.205696,-0.208796
rb1rush_x_qbpassunder,2019,342,0.245614,-0.062918
rb1rush_x_qbpassunder,2020,275,0.265455,-0.037723
rb1rush_x_qbpassunder,2021,312,0.240385,-0.071196
rb1rush_x_qbpassunder,2022,372,0.204301,-0.186032
rb1rush_x_qbpassunder,2023,358,0.231844,-0.109795
rb1rush_x_qbpassunder,2024,352,0.230114,-0.127464
rb1rush_x_qbpassunder,2025,360,0.244444,-0.100894
bothqb_passyds,2010,133,0.240602,0.014354
bothqb_passyds,2011,123,0.243902,-0.008964
bothqb_passyds,2012,155,0.277419,0.144278
bothqb_passyds,2013,112,0.241071,0.067038
bothqb_passyds,2014,150,0.260000,0.017510
bothqb_passyds,2015,127,0.275591,0.165120
bothqb_passyds,2016,171,0.269006,0.092997
bothqb_passyds,2017,156,0.262821,0.099951
bothqb_passyds,2018,150,0.306667,0.132893
bothqb_passyds,2019,150,0.293333,0.125387
bothqb_passyds,2020,135,0.244444,0.161170
bothqb_passyds,2021,171,0.263158,0.126820
bothqb_passyds,2022,126,0.246032,-0.039736
bothqb_passyds,2023,141,0.262411,0.002492
bothqb_passyds,2024,120,0.275000,0.199299
bothqb_passyds,2025,130,0.276923,0.126619
passyds_x_rb1rush,2010,263,0.209125,-0.149809
passyds_x_rb1rush,2011,308,0.224026,-0.168045
passyds_x_rb1rush,2012,366,0.229508,-0.164954
passyds_x_rb1rush,2013,339,0.233038,-0.142270
passyds_x_rb1rush,2014,316,0.262658,-0.049601
passyds_x_rb1rush,2015,318,0.238994,-0.114888
passyds_x_rb1rush,2016,336,0.220238,-0.149585
passyds_x_rb1rush,2017,308,0.243506,-0.120555
passyds_x_rb1rush,2018,316,0.205696,-0.208716
passyds_x_rb1rush,2019,342,0.245614,-0.062924
passyds_x_rb1rush,2020,275,0.265455,-0.037860
passyds_x_rb1rush,2021,312,0.240385,-0.071280
passyds_x_rb1rush,2022,372,0.204301,-0.185865
passyds_x_rb1rush,2023,358,0.231844,-0.109842
passyds_x_rb1rush,2024,352,0.230114,-0.127854
passyds_x_rb1rush,2025,360,0.244444,-0.100775
spread_x_total,1999,248,0.233871,-0.003901
spread_x_total,2000,248,0.258065,-0.025034
spread_x_total,2001,248,0.266129,0.111604
spread_x_total,2002,256,0.238281,-0.018369
spread_x_total,2003,256,0.234375,-0.047094
spread_x_total,2004,256,0.257812,0.041140
spread_x_total,2005,256,0.257812,0.018342
spread_x_total,2006,256,0.242188,-0.032663
spread_x_total,2007,256,0.269531,0.018651
spread_x_total,2008,256,0.242188,-0.031940
spread_x_total,2009,256,0.250000,0.023066
spread_x_total,2010,256,0.269531,0.041231
spread_x_total,2011,256,0.269531,0.075010
spread_x_total,2012,256,0.230469,-0.046288
spread_x_total,2013,256,0.234375,0.042789
spread_x_total,2014,256,0.273438,0.094339
spread_x_total,2015,256,0.246094,0.017920
spread_x_total,2016,256,0.246094,-0.044535
spread_x_total,2017,256,0.257812,0.065273
spread_x_total,2018,256,0.257812,0.015939
spread_x_total,2019,256,0.261719,0.009248
spread_x_total,2020,256,0.253906,-0.067400
spread_x_total,2021,272,0.253676,0.094302
spread_x_total,2022,271,0.258303,-0.031503
spread_x_total,2023,272,0.257353,-0.017042
spread_x_total,2024,272,0.253676,0.100218
spread_x_total,2025,272,0.250000,-0.009036
