family,rung_a,rung_b,quadrant,n,p_a,p_b,joint,phi,ci_low,ci_high,phi_2023,phi_2024,phi_2025,phi_2026
starter_er,k>=5,er<=1,both,16477,0.540693,0.372580,0.242216,0.169189,,,0.152493,0.174672,0.192745,0.148727
starter_er,k>=5,er<=2,both,16477,0.540693,0.569278,0.356861,0.198795,,,0.183203,0.202776,0.216976,0.189811
starter_er,k>=5,er<=3,both,16477,0.540693,0.722826,0.434302,0.194906,,,0.186790,0.196697,0.210651,0.181167
starter_hits_allowed,k>=5,hits<=5,both,16477,0.540693,0.605389,0.361291,0.139431,,,0.127264,0.158873,0.155594,0.101876
starter_hits_allowed,k>=5,hits<=6,both,16477,0.540693,0.753657,0.438247,0.143207,,,0.146574,0.145844,0.156077,0.112277
starter_hits_allowed,k>=5,hits<=7,both,16477,0.540693,0.866177,0.490623,0.131360,,,0.139054,0.120529,0.150680,0.103588
deep_start,k>=5,outs>=18,both,16477,0.540693,0.581841,0.380470,0.267980,,,0.299116,0.272629,0.247965,0.240925
starter_er,k>=6,er<=1,both,16477,0.384111,0.372580,0.185713,0.181157,0.164387,0.196688,0.165341,0.188877,0.198319,0.165707
starter_er,k>=6,er<=2,both,16477,0.384111,0.569278,0.266250,0.197569,0.182171,0.214492,0.176820,0.210305,0.207388,0.196088
starter_er,k>=6,er<=3,both,16477,0.384111,0.722826,0.318626,0.188237,0.174814,0.204534,0.181551,0.181597,0.204592,0.184861
starter_hits_allowed,k>=6,hits<=5,both,16477,0.384111,0.605389,0.267585,0.147430,0.133449,0.164066,0.141490,0.150381,0.163689,0.127497
starter_hits_allowed,k>=6,hits<=6,both,16477,0.384111,0.753657,0.319172,0.141641,0.126077,0.157697,0.136391,0.131986,0.162114,0.134598
starter_hits_allowed,k>=6,hits<=7,both,16477,0.384111,0.866177,0.352977,0.122398,0.108614,0.137256,0.121038,0.106658,0.148281,0.108724
deep_start,k>=6,outs>=18,both,16477,0.384111,0.581841,0.285853,0.259933,0.243063,0.276158,0.288968,0.251809,0.249128,0.241650
starter_er,k>=7,er<=1,both,16477,0.249439,0.372580,0.128786,0.171365,,,0.170225,0.175255,0.167428,0.174893
starter_er,k>=7,er<=2,both,16477,0.249439,0.569278,0.180191,0.178246,,,0.172098,0.178719,0.182930,0.182844
starter_er,k>=7,er<=3,both,16477,0.249439,0.722826,0.212599,0.166770,,,0.165103,0.164193,0.177476,0.158420
starter_hits_allowed,k>=7,hits<=5,both,16477,0.249439,0.605389,0.180251,0.138279,,,0.149494,0.126695,0.152206,0.118488
starter_hits_allowed,k>=7,hits<=6,both,16477,0.249439,0.753657,0.212235,0.130040,,,0.136898,0.125721,0.145948,0.100086
starter_hits_allowed,k>=7,hits<=7,both,16477,0.249439,0.866177,0.232506,0.111652,,,0.113593,0.097562,0.139686,0.085664
deep_start,k>=7,outs>=18,both,16477,0.249439,0.581841,0.197548,0.245586,,,0.273901,0.236206,0.233849,0.232502
starter_er,k>=line,er<=1,both,16477,0.570492,0.372580,0.247861,0.147522,,,0.144490,0.151762,0.148172,0.143710
starter_er,k>=line,er<=2,both,16477,0.570492,0.569278,0.365843,0.167572,,,0.160744,0.170822,0.174666,0.161157
starter_er,k>=line,er<=3,both,16477,0.570492,0.722826,0.450325,0.171318,,,0.169938,0.170214,0.181877,0.157044
starter_hits_allowed,k>=line,hits<=5,both,16477,0.570492,0.605389,0.374704,0.121245,,,0.132187,0.124234,0.121844,0.095698
starter_hits_allowed,k>=line,hits<=6,both,16477,0.570492,0.753657,0.456272,0.123388,,,0.130911,0.112831,0.132067,0.112430
