date,book,region,game,family,leg1_desc,leg1_threshold,leg2_desc,leg2_threshold,leg1_price,leg2_price,sgp_price,hold,n,p1,p2,joint,phi_true,ci_low,ci_high,phi_book,gap,phi_book_devigged,gap_devigged,p_true,ev,leg1_source,leg1_books,leg2_source,leg2_books,lineups_posted,notes
2026-08-17,draftkings,us,ATH@KC,indep,Wacha over 4.5 K,k>=5,Barnett over 3.5 K,their_k>=4,-106,123,310,0.132980,15544,0.538986,0.694545,0.373906,-0.001932,-0.016780,0.012858,-0.062241,0.060309,,,,,,,,,No,
2026-08-17,draftkings,us,MIA@PHI,k_x_teamk,Sanchez over 6.5 K,k>=7,Phillies Strikeouts Thrown over 9.5 K,team_k>=10,-145,-115,118,0.132980,15544,0.248006,0.298829,0.181613,0.543821,0.524668,0.559652,0.360237,0.183584,,,,,,,,,No,
2026-08-17,draftkings,us,MIA@PHI,k_x_er,Sanchez over 6.5 K,k>=7,Sanchez ER allowed under 1.5,er<=1,-145,106,192,0.132980,16477,0.249439,0.372580,0.128786,0.171365,0.155595,0.187441,0.060944,0.110421,,,,,,,,,No,
2026-08-17,draftkings,us,ATH@KC,k_x_hitsallowed,Wacha over 4.5 K,k>=5,Wacha hits allowed under 5.5,hits<=5,-106,116,252,0.132980,16477,0.540693,0.605389,0.361291,0.139431,0.124225,0.156422,0.050251,0.089180,,,,,,,,,No,
2026-08-17,draftkings,us,ATH@KC,k_x_outs,Wacha over 4.5 K,k>=5,Wacha outs over 18.5,outs>=19,-106,113,214,0.132980,16477,0.540693,0.291072,0.194817,0.165372,0.148777,0.181639,0.158414,0.006959,,,,,,,,,No,
2026-08-17,draftkings,us,MIA@PHI,k_x_batterk,Sanchez over 6.5 K,k>=7,Sanoja 1+ K,batter_k>=1,-145,-131,152,0.132980,139896,0.248006,0.621633,0.189112,0.166841,0.161603,0.172201,0.060030,0.106811,,,,,,,,,No,Caissie was not listed for this so I picked another batter
2026-08-17,draftkings,us,DET@PIT,k_x_batterk,Valdez over 5.5 K,k>=6,Davis 1+ K,batter_k>=1,116,-175,196,0.132980,139896,0.382141,0.621633,0.279322,0.177250,0.172510,0.182218,0.014893,0.162357,,,,,,,,,No,Cruz not listed so different batter
2026-08-17,draftkings,us,COL@LAD,k_x_f5ml,Snell over 6.5 K,k>=7,Dodgers F5 ml,my_er<their_er,-152,-250,100,0.132980,12992,0.244920,0.500000,0.155634,0.154285,0.137059,0.171119,0.047395,0.106890,,,,,,,,,No,
2026-08-18,draftkings,us,PIT@DET,indep,Ashcraft over 5.5 K,k>=6,Montero over 3.5 K,their_k>=4,-132,-119,202,0.132980,15544,0.382141,0.694545,0.265247,-0.000746,-0.017473,0.015227,-0.068523,0.067777,,,,,,,,,No,
2026-08-18,draftkings,us,SEA@MIL,indep,Harrison over 5.5 K,k>=6,Miller over 5.5 K,their_k>=6,-155,112,228,0.132980,15544,0.382141,0.382141,0.142949,-0.013056,-0.031910,0.000299,-0.072314,0.059257,,,,,,,,,No,
2026-08-18,draftkings,us,BAL@NYY,k_x_teamk,Rodon over 4.5 K,k>=5,Orioles team strikeouts over 9.5,team_k>=10,-156,-110,128,0.132980,15544,0.538986,0.298829,0.261323,0.439389,0.425897,0.449731,0.278744,0.160646,,,,,,,,,No,
2026-08-18,draftkings,us,COL@LAD,k_x_teamk,Lauer over 3.5 K,k>=4,Rockies team strikeouts over 7.5,team_k>=8,-125,-155,126,0.132980,15544,0.694545,0.559894,0.494017,0.459869,0.443773,0.473861,0.217856,0.242014,,,,,,,,,No,
2026-08-18,draftkings,us,BAL@NYY,k_x_er,Rodon over 4.5 K,k>=5,Rodon under 1.5 er,er<=1,-156,-121,154,0.132980,16477,0.540693,0.372580,0.242216,0.169189,0.153084,0.185758,0.057040,0.112149,,,,,,,,,No,
2026-08-18,draftkings,us,ATH@KC,k_x_er,Perkins over 3.5 K,k>=4,Perkins under 2.5 er,er<=2,-152,-109,166,0.132980,16477,0.697336,0.569278,0.435820,0.170739,0.154283,0.187147,0.070545,0.100194,,,,,,,,,No,Had to switch games because er line wasn’t available
2026-08-18,draftkings,us,DET@PIT,k_x_batterk,Montero over 3.5 K,k>=4,Cruz 1+ K,batter_k>=1,-119,-275,120,0.132980,139896,0.694545,0.621633,0.469006,0.166771,0.161567,0.172235,0.012333,0.154438,,,,,,,,,No,
2026-08-18,draftkings,us,DET@PIT,k_x_batterk,Ashcraft over 5.5 K,k>=6,Torkelson 1+ K,batter_k>=1,-136,-620,-115,0.132980,139896,0.382141,0.621633,0.279322,0.177250,0.172510,0.182218,,,,,,,,,,,No,
2026-08-18,draftkings,us,COL@LAD,k_x_outs,Lauer over 3.5 K,k>=4,Lauer over 16.5 outs,outs>=17,-125,-138,154,0.132980,16477,0.697336,0.581841,0.464223,0.258085,0.242408,0.274149,0.103409,0.154677,,,,,,,,,No,
2026-08-18,draftkings,us,COL@LAD,k_x_f5ml,Lauer over 3.5 K,k>=4,Dodgers F5 ml,my_er<their_er,-125,-166,156,0.132980,12992,0.689732,0.500000,0.376616,0.137268,0.119167,0.152597,-0.007992,0.145260,,,,,,,,,No,
2026-08-19,draftkings,us,DET@PIT,indep,Jobe over 4.5 K,k>=5,Skenes over 5.5 K,their_k>=6,-109,-162,222,0.132980,15544,0.538986,0.382141,0.204452,-0.006262,-0.022939,0.008733,-0.199302,0.193040,-0.052813,0.046551,0.285579,-0.080436,sheet,,sheet,,Yes,
2026-08-19,draftkings,us,SD@NYM,indep,King over 4.5 K,k>=5,Stock over 3.5 K,their_k>=4,-155,-153,158,0.132980,15544,0.538986,0.694545,0.373906,-0.001932,-0.016780,0.012858,-0.106766,0.104835,0.060594,-0.062526,0.326797,-0.156863,sheet,,sheet,,No,
2026-08-19,draftkings,us,MIA@PHI,k_x_teamk,Nola over 5.5 K,k>=6,Phillies Ks thrown over 9.5,team_k>=10,-119,115,168,0.132980,15544,0.382141,0.298829,0.227998,0.511651,0.495189,0.526402,0.308329,0.203323,0.439339,0.072312,0.347235,-0.069409,sheet,,sheet,,No,Wanted to do fliff here but they have no other lines so cant really use it as a sandbox
2026-08-19,draftkings,us,BAL@NYY,k_x_teamk,Warren over 5.5 K,k>=6,Yankees Ks thrown over 8.5,team_k>=9,124,-135,164,0.132980,15544,0.382141,0.424858,0.293489,0.545944,0.531138,0.561074,0.316816,0.229128,0.452066,0.093878,0.357470,-0.056279,sheet,,sheet,,No,
2026-08-19,draftkings,us,DET@PIT,k_x_batterk,Skenes over 5.5 K,k>=6,Torkelson 1+ K,batter_k>=1,-162,-780,140,0.132980,139896,0.382141,0.621633,0.279322,0.177250,0.172510,0.182218,,,,,,,sheet,,,,Yes,Batter strikeout props only have one side
2026-08-19,draftkings,us,MIA@PHI,k_x_batterk,Nola over 5.5 K,k>=6,Caissie 1+ K,batter_k>=1,-119,-430,106,0.132980,139896,0.382141,0.621633,0.279322,0.177250,0.172510,0.182218,,,,,,,sheet,,,,No,Batter strikeout props only have one side
2026-08-19,draftkings,us,COL@LAD,k_x_er,Freeland over 3.5 K,k>=4,Freeland under 3.5 er,er<=3,-143,-108,174,0.132980,16477,0.697336,0.722826,0.540450,0.177005,0.161862,0.193831,0.067398,0.109606,0.213279,-0.036274,0.313118,-0.142057,sheet,,sheet,,No,
2026-08-19,draftkings,us,COL@LAD,k_x_outs,Sasaki over 4.5 K,k>=5,Sasaki over 16.5 outs,outs>=17,-142,-107,152,0.132980,16477,0.540693,0.581841,0.380470,0.267980,0.251134,0.282496,0.190760,0.077220,0.334599,-0.066619,0.333699,-0.159080,sheet,,sheet,,No,
2026-08-19,draftkings,us,COL@LAD,k_x_f5ml,Sasaki over 4.5 K,k>=5,Dodgers F5 ml,my_er<their_er,-142,-160,134,0.132980,12992,0.535099,0.500000,0.306881,0.157717,0.141701,0.174621,0.067198,0.090519,0.230562,-0.072846,0.359314,-0.159205,sheet,,sheet,,No,
2026-08-19,draftkings,us,CHC@CHW,k_x_teamk,Holmes under 4.5 K,k<=4,Cubs Ks thrown under 8.5,team_k<=8,103,-155,144,0.132980,15544,0.461014,0.575142,0.389025,0.502729,0.488873,0.515128,0.255246,0.247483,0.408337,0.094391,0.385098,-0.060361,sheet,,sheet,,No,Had to switch to Cubs pitcher because lines were not out for white sox guy
